,fileNumber,fileName,iter1:m/nratio,iter1:time,iter1:noOfIter,avgIter,avgTime,mnratio
0,1,"n=50,m=135.cnf",2.7,0.005177029000002165,28,28.0,0.005177029000002165,2.7
1,2,"n=10,m=56.cnf",5.6,-0.00014855499999910646,3,3.0,-0.00014855499999910646,5.6
2,3,"n=30,m=28.cnf",0.9333333333333332,0.0009867169999999703,5,5.0,0.0009867169999999703,0.9333333333333332
3,4,"n=30,m=103.cnf",3.433333333333333,0.0002921909999997752,22,22.0,0.0002921909999997752,3.433333333333333
4,5,"n=20,m=88.cnf",4.4,9.245000000035476e-05,7,7.0,9.245000000035476e-05,4.4
5,6,"n=50,m=120.cnf",2.4,-0.0002464770000010219,22,22.0,-0.0002464770000010219,2.4
6,7,"n=10,m=80.cnf",8.0,3.4020000001078195e-05,28,28.0,3.4020000001078195e-05,8.0
7,8,"n=10,m=41.cnf",4.1,-0.00012120600000109505,5,5.0,-0.00012120600000109505,4.1
8,9,"n=10,m=55.cnf",5.5,0.0001782790000000034,4,4.0,0.0001782790000000034,5.5
9,10,"n=30,m=115.cnf",3.8333333333333335,-0.0007675349999995973,145,145.0,-0.0007675349999995973,3.8333333333333335
10,11,"n=30,m=16.cnf",0.5333333333333333,0.0005976500000013374,2,2.0,0.0005976500000013374,0.5333333333333333
11,12,"n=40,m=67.cnf",1.675,0.00011847500000072839,8,8.0,0.00011847500000072839,1.675
12,13,"n=40,m=73.cnf",1.825,-6.585600000086345e-05,14,14.0,-6.585600000086345e-05,1.825
13,14,"n=30,m=100.cnf",3.333333333333333,0.0001916330000018007,9,9.0,0.0001916330000018007,3.333333333333333
14,15,"n=10,m=40.cnf",4.0,-0.0009989739999998193,11,11.0,-0.0009989739999998193,4.0
15,16,"n=10,m=68.cnf",6.8,-1.3479999999788104e-05,9,9.0,-1.3479999999788104e-05,6.8
16,17,"n=10,m=44.cnf",4.4,-0.00024373099999941417,11,11.0,-0.00024373099999941417,4.4
17,18,"n=10,m=50.cnf",5.0,-0.00030927499999933167,23,23.0,-0.00030927499999933167,5.0
18,19,"n=40,m=163.cnf",4.075,0.00012597399999947356,42,42.0,0.00012597399999947356,4.075
19,20,"n=30,m=13.cnf",0.43333333333333335,7.299900000035109e-05,3,3.0,7.299900000035109e-05,0.43333333333333335
20,21,"n=30,m=139.cnf",4.633333333333334,0.00023817699999817418,56,56.0,0.00023817699999817418,4.633333333333334
21,22,"n=10,m=45.cnf",4.5,0.00010207399999906386,7,7.0,0.00010207399999906386,4.5
22,23,"n=50,m=130.cnf",2.6,-0.00011526199999956077,27,27.0,-0.00011526199999956077,2.6
23,24,"n=10,m=53.cnf",5.3,3.548400000141782e-05,7,7.0,3.548400000141782e-05,5.3
24,25,"n=10,m=47.cnf",4.7,-0.00024983800000022427,50,50.0,-0.00024983800000022427,4.7
25,26,"n=30,m=10.cnf",0.3333333333333333,0.0003062380000002918,1,1.0,0.0003062380000002918,0.3333333333333333
